GEO_ID,NAME,B28002_001E,B28002_013E
id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!No Internet access
42003513800,"Census Tract 5138, Allegheny County, Pennsylvania",696,288
42003514000,"Census Tract 5140, Allegheny County, Pennsylvania",943,248
42003515100,"Census Tract 5151, Allegheny County, Pennsylvania",1349,279
42003515200,"Census Tract 5152, Allegheny County, Pennsylvania",1162,168
42003515300,"Census Tract 5153, Allegheny County, Pennsylvania",875,298
42003515401,"Census Tract 5154.01, Allegheny County, Pennsylvania",1025,160
42003516100,"Census Tract 5161, Allegheny County, Pennsylvania",710,75
42003516200,"Census Tract 5162, Allegheny County, Pennsylvania",859,54
42003517000,"Census Tract 5170, Allegheny County, Pennsylvania",956,261
42003518001,"Census Tract 5180.01, Allegheny County, Pennsylvania",1577,249
42003519000,"Census Tract 5190, Allegheny County, Pennsylvania",1270,117
42003520001,"Census Tract 5200.01, Allegheny County, Pennsylvania",1501,254
42003520002,"Census Tract 5200.02, Allegheny County, Pennsylvania",1501,176
42003521100,"Census Tract 5211, Allegheny County, Pennsylvania",1800,201
42003521200,"Census Tract 5212, Allegheny County, Pennsylvania",1922,211
42003521301,"Census Tract 5213.01, Allegheny County, Pennsylvania",2096,474
42003521302,"Census Tract 5213.02, Allegheny County, Pennsylvania",2147,365
42003521401,"Census Tract 5214.01, Allegheny County, Pennsylvania",1288,128
42003521402,"Census Tract 5214.02, Allegheny County, Pennsylvania",1517,103
42003521500,"Census Tract 5215, Allegheny County, Pennsylvania",1869,339
42003522000,"Census Tract 5220, Allegheny County, Pennsylvania",1498,418
42003523100,"Census Tract 5231, Allegheny County, Pennsylvania",1528,221
42003523200,"Census Tract 5232, Allegheny County, Pennsylvania",1729,318
42003523300,"Census Tract 5233, Allegheny County, Pennsylvania",1693,389
42003523400,"Census Tract 5234, Allegheny County, Pennsylvania",2339,371
42003523501,"Census Tract 5235.01, Allegheny County, Pennsylvania",1918,467
42003523502,"Census Tract 5235.02, Allegheny County, Pennsylvania",663,221
42003523600,"Census Tract 5236, Allegheny County, Pennsylvania",1999,213
42003523701,"Census Tract 5237.01, Allegheny County, Pennsylvania",1802,406
42003523702,"Census Tract 5237.02, Allegheny County, Pennsylvania",2509,573
42003523800,"Census Tract 5238, Allegheny County, Pennsylvania",2194,425
42003524000,"Census Tract 5240, Allegheny County, Pennsylvania",1242,375
42003525100,"Census Tract 5251, Allegheny County, Pennsylvania",954,93
42003525200,"Census Tract 5252, Allegheny County, Pennsylvania",1201,265
42003525300,"Census Tract 5253, Allegheny County, Pennsylvania",938,149
42003526101,"Census Tract 5261.01, Allegheny County, Pennsylvania",2997,184
42003526102,"Census Tract 5261.02, Allegheny County, Pennsylvania",893,190
